Zones,Total,Ser,Minor,VKT,LN_PO,P_YP,P_INC1,P_Cycle,P_Res,P_Coma,Index,Trams,T_Sig,Bus,Schol,Speed
POA3000,742,210,532,5.3545,9.934,7.015,39.059,1.779,5.9256,88.9491,0.2467,97,97,61,4,40.8487
POA3002,142,36,104,4.393,8.458,6.81,20.123,5.045,40.8978,22.1814,0.6569,20,25,10,0,53.3333
POA3003,171,58,111,5.3398,8.228,9.589,25.601,5.562,10.399,8.1444,0.7608,9,35,42,1,57.8641
POA3004,299,76,222,5.8438,8.954,7.845,18.744,2.606,5.557,21.0713,0.5629,44,44,22,2,54.0449
POA3005,19,5,14,2.9047,6.54,10.983,18.919,2.663,0,78.6915,0.3412,4,7,1,0,52
POA3006,222,71,150,5.6907,9.333,7.202,20.654,1.983,31.6155,54.4793,0.5661,31,62,15,1,61
POA3008,74,18,55,3.972,8.536,7.947,20.173,1.688,0.2184,77.4733,0.3253,23,29,17,0,49.4872
POA3010,37,14,23,3.2115,7.324,18.326,0,7.396,1.7059,0,0.3945,5,8,6,0,55.8333
POA3011,238,76,161,5.0424,9.801,16.418,41.502,4.845,52.0086,12.8226,0.7811,15,42,107,7,50.5556
POA3012,209,74,130,6.1155,10.049,20.132,42.59,3.356,35.7839,1.7797,0.5902,1,43,132,3,57.3743
POA3013,90,31,59,4.1937,9.529,21.481,31.69,4.437,54.6631,1.7618,0.6641,0,23,70,5,50.8247
POA3015,102,27,75,5.7899,9.69,23.129,31.109,2.653,47.7715,1.7144,0.7626,0,29,90,6,51.0407
POA3016,78,30,48,0.3497,9.599,25.531,32.827,3.029,46.3553,2.8417,0.7855,0,8,69,5,47.5325
POA3018,99,36,62,5.719,9.374,18.618,43.675,1.148,23.0043,19.7488,0.7515,0,7,71,5,50.6186
POA3019,47,20,27,3.5292,9.009,25.819,58.741,0.938,49.6811,24.1398,0.7301,0,10,43,6,48.8393
POA3020,366,113,247,6.3121,10.61,22.019,52.45,0.828,53.409,4.3924,0.6631,0,75,242,18,51.7751
POA3021,304,112,187,5.6223,10.855,23.629,53.664,0.214,74.03,1.5859,0.5116,0,23,193,18,48.2216
POA3022,32,13,19,4.1846,7.946,20.687,55.227,0.585,55.6484,0.4057,0.5656,0,10,13,2,53.1111
POA3023,237,86,149,6.0257,10.928,29.359,31.934,0.285,66.1044,7.8356,0.6034,0,30,152,13,53.7288
POA3024,101,37,64,5.8377,9.798,31.146,33.056,0.311,8.7509,3.0389,0.3091,0,7,69,4,59.7315
POA3025,109,35,74,5.4563,9.34,22.093,53.326,1.501,25.0485,1.4082,0.7916,0,31,107,3,51.9915
POA3026,124,39,83,5.8788,4.511,6.593,72.34,0,0,2.8556,0.231,0,16,42,0,68.3636
POA3027,38,12,23,5.5261,8.078,26.869,19.124,0.485,16.4727,1.9146,0.5905,0,13,10,0,67
POA3028,100,38,61,5.2009,10.232,23.44,39.728,0.449,58.3353,1.9691,0.5797,0,9,73,8,49.7661
POA3029,344,118,222,5.8587,11.134,29.164,32.23,0.332,39.7052,1.1936,0.5531,0,48,240,20,57.1525
POA3030,345,130,205,6.48,11.261,28.717,31.831,0.485,33.4513,36.8132,0.7071,0,58,317,22,59.5122
POA3031,120,32,87,4.8478,9.755,18.759,37.185,6.948,36.7325,5.3545,0.738,22,24,25,6,46
POA3032,191,55,134,4.7192,10.14,19.927,33.008,3.524,46.8304,7.2467,0.7632,56,40,74,8,49.4839
POA3033,75,27,47,5.6922,9.492,21.02,41.683,0.699,48.7793,1.1953,0.6012,0,19,46,4,57.6344
POA3034,26,6,20,0,9.305,18.482,45.687,0.522,67.9543,2.9827,0.4463,0,8,46,2,47.7358
POA3036,55,20,34,5.8379,8.673,23.053,33.447,0.248,27.7594,0.7679,0.4294,0,3,34,3,63.6047
POA3037,106,35,68,4.8117,10.755,31.45,29.292,0.146,74.6248,1.2094,0.4392,0,16,141,9,56.7249
POA3038,80,22,57,3.5329,10.246,24.899,32.055,0.152,75.8664,2.9909,0.4704,0,27,120,7,54.8485
POA3039,81,28,52,4.8932,9.513,20.486,32.075,2.868,70.728,9.2805,0.5123,25,20,60,3,48.0342
POA3040,157,26,130,4.5294,10.08,22.75,32.371,1.837,78.6541,4.0402,0.3993,24,31,114,10,48.125
POA3041,116,35,81,6.2249,9.335,25.154,32.1,1.455,45.6032,1.8551,0.5523,8,17,56,5,55.1613
POA3042,119,41,78,5.1813,9.573,20.707,42.456,0.653,61.5473,10.2161,0.6416,12,19,87,4,53.7013
