Zone,Chd_09,Chd_10,Chd_11,Chd_12,Chd_13,Chd_T,Old_09,Old_10,Old_11,Old_12,Old_13,Old_T,Bik_09,Bik_10,Bik_11,Bik_12,Bik_13,Bik_T,BIKE_S,BIKE_O,Fat_09,Fat_10,Fat_11,Fat_12,Fat_13,Fat_T,Mbi_09,Mbi_10,Mbi_11,Mbi_12,Mbi_13,Mbi_T,Nit_09,Nit_10,Nit_11,Nit_12,Nit_13,Nit_T,OIn_09,OIn_10,OIn_11,OIn_12,OIn_13,Oln_T,Ped_09,Ped_10,Ped_11,Ped_12,Ped_13,Ped_T,PED_S,PED_O,Ser_09,Ser_10,Ser_11,Ser_12,Ser_13,Ser_T,Tot_09,Tot_10,Tot_11,Tot_12,Tot_13,Tot_T,Tru_09,Tru_10,Tru_11,Tru_12,Tru_13,Tru_T,WeD_09,WeD_10,WeD_11,WeD_12,WeD_13,WeD_T,WeE_09,WeE_10,WeE_11,WeE_12,WeE_13,WeE_T,VKT_0,LVKT_0,VKT_1,LVKT_1,VKT_2,LVKT_2,VKT_3,LVKT_3,VKT_A,LVKT_A,PY_Pop,PYA_P,PA_PoP,PO_Pop,T_Pop,LNTPO,Ratio,P_Den,LPDen,PHH_1,PHH_2,PNo_Mo,PMot_1,PMot_2,Un_Rate,BusN,P_Bus,CarN,P_Car,CycN,LNCyc,P_Cyc,WalkN,PWalk,LNWak,LNPVK,P_mode,P_Agri,P_Ind,P_Com,P_Ser,P_Res,P_Agr,P_Park,P_Wata,P_Edu,P_Hosp,P_Tran,P_Indu,P_Coma,Index,P_Sped,T_Sig,B_Stop,T_Stop,Train,Schols,Long,Lat
201021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,15.45,45.77,12.48,5547,8.62101252,0.98,5.34,1.675225653,37.7,48.96,3.42,63.73,29.09,4.27,6,0.23,1875,70.44,9,2.197224577,2.73,67,2.516904583,4.204692619,0,2.87,5.48,21.33,19.83,47.13,0.09,99.91,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,144.4795957,-37.76967811
203021043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.75,21.42,42.05,9.78,15522,9.650013651,0.95,26.38,3.272606147,31.47,57.08,3.03,69.69,25.06,4.22,22,0.3,5387,72.86,19,2.944438979,1.72,114,1.541790641,4.736198448,0,2.9,1.81,24.17,22.73,45.75,2.98,67.67,21.97,0,0,0,0,0.07,0,0.36,0,0,0,0,0,0,144.4924125,-37.92294044
204011054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.11,13.81,44.2,22.88,6097,8.715552126,1.01,2.88,1.057790294,51.37,36.4,4.16,71.3,20.39,4.26,11,0.4,1658,61,18,2.890371758,9.61,255,9.381898455,5.541263545,0,0.85,11.76,15.47,16.16,51.47,0.9,3.63,94.7,0.78,0,0,0,0,0,0.12,0,0,0,0,0,0,145.9951848,-37.54006121
204011057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.78,14.99,43.66,16.57,8153,9.006141237,0.99,2.08,0.732367894,48.21,39.11,3.67,71.97,21.34,2.66,37,0.96,2343,60.48,38,3.63758616,11.15,406,10.4801239,6.00635316,0,1.18,8.98,16.49,17.03,52.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.1824545,-37.53287349
204011061,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,12,9,9,5,30,2,1,0,3,1,4,2,4,7,7,5,18,0,0,1,0,0,1,0,1,9,10,3,3,4,16,11,14,10,11,9,35,0,0,0,0,0,0,4,5,2,3,4,10,7,9,8,8,5,25,2.47,0.9,2.6,0.96,2.75,1.01,2.85,1.05,2.61,0.96,24.43,18.55,49.32,7.69,219,5.38907173,0.86,0.26,-1.347073648,58.89,22.22,4.49,75.28,16.85,12.9,0,0,64,80,0,0,3.23,3,3.75,1.098612289,5.173508861,3.23,3.66,18.29,25.61,52.44,0.08,2.86,95.4,1.66,0,0,0,0,0,0.01,74.1,0,0,0,0,0,145.9761139,-37.65134234
205011076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.75,20.27,38.31,15.67,13219,9.489410468,1.03,40.45,3.700066644,43.51,44.59,4.38,71.41,21.01,5.14,29,0.49,4266,71.88,15,2.708050201,2.8,160,2.695871946,5.075173815,0,1.74,7.03,24.97,19.92,40.64,0.82,72.24,26.91,0,0.01,0,0,0,0,0.11,0,0,0,0,0,0,145.7487041,-38.00681535
205011077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.15,13.56,46.25,14.03,5965,8.693664335,0.97,2.16,0.770108222,41.47,43.9,1.92,64.05,31.65,4.48,10,0.35,1839,64.44,0,0,4.45,133,4.660126139,4.890349128,0,1.61,15.15,20.06,14.17,43.67,0,9.24,90.76,0,0,0,0,0,0,0,0,0,0,0,0,0,146.0069882,-37.76828716
205031089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.33,15.59,43.33,15.76,8744,9.07612303,1.01,14.56,2.678278043,45.53,43.34,3.99,68.2,24.92,4.1,13,0.32,2723,67.77,9,2.197224577,4.77,191,4.753608761,5.252273428,0,1.12,14.1,24.08,18.96,36.92,6.23,93.53,0.24,0,0,0,0,0,0,0.64,0,0,0,0,0,0,145.7358695,-38.26563045
205031093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.38,15.34,40.79,22.48,20032,9.905086274,1.04,27.53,3.315276319,50.91,37.59,6.66,73.5,15.76,4.62,38,0.47,5797,71.45,64,4.158883083,4.88,351,4.326389745,5.860786223,0,0.9,6.75,24.21,18.41,45.1,0.4,95.95,3.65,0,0,0,0,0,0,0.05,0,0,0,0,0,0,145.5551808,-38.29842218
206011105,0,2,2,0,0,4,13,21,30,19,18,70,28,38,45,46,34,129,34,102,1,1,1,0,0,2,20,15,16,15,18,46,28,20,27,17,17,64,51,77,78,66,76,221,18,22,17,16,21,55,17,26,35,24,31,32,17,87,87,102,110,98,93,310,1,0,2,0,0,2,67,83,78,82,68,243,20,19,32,16,25,67,89.26,4.49,90.76,4.51,93.76,4.54,96.21,4.57,91.26,4.51,13.69,42.97,33.26,10.08,22764,10.03293562,1.05,4426.67,8.395402887,29.98,57.74,21.58,69.75,5.69,5.92,58,0.45,4651,35.82,1399,7.243512975,14.29,574,4.420485175,6.352629396,45.24853965,6.55,0.19,9.5,14.06,71.02,52.02,0,28.56,0,2.07,1.79,0,0.06,9.86,0.23,42.2,25,84,36,3,4,144.9612668,-37.76644152
