Zones,T_Sig,T_Stop,Schols,B_Stop,P_Sped,LN_AVKT,Total,Fatal,Serio,Minor,S1,S2,S3S,S4S,X2,X3,X4,X5,X5A,X5B,X6,X7,X8,X9,LNPOP,Y_POP,HHD1,HHD2,Cyc,X12,X13,X14,X15,Unemp,X17,X18,X20,E1,E2,E3,E4,E5,L2,L3,L4,L5,L6,L7,L8,Resi,Coma,Index,L11,VKT_10,LN_VKT_10,VKT_11,LN_VKT_11,VKT_12,LN_VKT_12,VKT_13,LN_VKT_13,AVKT ,TPOP,Long,Lat
2100908,0,0,0,0,0,0,0,0,0,0,42.10526316,26.316,31.579,10.526,16.39871,51.44695,12.86174,0.857142857,54.01929,45.98071,311,3.2618,47,1262,5.743003188,19.2926,28.037,55.1402,2.29885,2.9,0,50.48544,49.51456,0,0,66.66667,0,29.82456,18.71345,12.2807,26.31579,9.35673,100,0,0,0,0,0,0,0,0,0,95.65264,0,0,0,0,0,0,0,0,0,312,144.4795957,-37.76967811
2104306,0,0,0,0,0,0,0,0,0,0,51.2195122,20.732,30.488,20.732,12.34568,47.3251,10.28807,1.008264463,49.38272,50.61728,243,2.07762,41,1221,5.493061443,30.04115,48.101,37.9747,3.50877,2.8,0,47.4359,52.5641,0,0,66.66667,5.26316,25.86207,15.51724,15.51724,27.58621,12.93103,76.71484,23.28516,0,0,0,0,0,0,0,0,116.96062,0,0,0,0,0,0,0,0,0,243,144.4509942,-37.86788529
2104307,0,0,0,0,0,2.845128585,0,0,0,0,66.90647482,14.388,35.971,30.935,19.24528,45.28302,10.37736,0.944852941,51.32075,48.67925,530,4.66429,38,1437,6.270988432,25.09434,30.508,54.8023,1.4652,2.8,2.27273,55.68182,42.04545,8.05271,0,71.42857,3.2967,19.63636,26.90909,9.45455,31.27273,11.63636,82.4116,17.5884,0,0,0,0,0,0,0,0,113.415,16.22355611,2.786464267,17.75313613,2.876562184,17.63461976,2.869864002,18.4021031,2.912464957,17.20377067,529,144.4869028,-37.92049849
2104325,0,0,0,0,0,0,0,0,0,0,0,100,0,0,12,40,28,0.857142857,48,52,25,0.28055,62,1133,3.258096538,20,60,40,0,2,0,76.92308,0,0,0,100,0,0,0,0,0,100,59.40857,0,0,0,0,0,40.59143,0,0,0,92.67533,0,0,0,0,0,0,0,0,0,26,144.552524,-37.97844485
2105405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,100,0,6,0.00398,58,533,1.098612289,0,100,0,0,1,0,100,0,0,0,0,0,0,100,0,0,0,0,98.52452,1.47548,0,0,0,0,0,0,0,754.37589,0,0,0,0,0,0,0,0,0,3,146.0853269,-37.53290034
2105417,0,0,0,0,0,-2.544379811,0,0,0,0,50,8.654,30.769,19.231,13.92405,53.16456,14.13502,0.903614458,52.32068,47.67932,474,1.15854,47,805,6.161207322,18.77637,50.802,36.3636,11.52263,2.2,1.60428,61.49733,33.15508,4.85893,0,45.67901,0,18.69919,29.6748,11.38211,22.76423,13.82114,17.34771,75.95548,0,0,0,0,0,6.69682,0,0.67281,409.13561,0.073303707,-2.613144101,0.081459029,-2.507655092,0.080802469,-2.515747753,0.083086372,-2.487874592,0.078521735,474,145.7770478,-37.55738996
2105701,0,0,0,0,0,0,0,0,0,0,58.06451613,4.839,38.71,19.355,5.98958,54.6875,23.69792,0.837320574,54.16667,45.83333,384,0.43264,57,531,5.950642553,15.625,67.598,17.8771,9.35252,1.9,3.35196,78.77095,13.96648,12.0614,2.15827,62.58993,4.31655,25.71429,22.85714,10.71429,31.42857,6.42857,3.26931,95.84764,0.66328,0,0,0,0,0.21978,0,0.03064,887.57639,0,0,0,0,0,0,0,0,0,384,146.1824545,-37.53287349
2106101,0,0,0,0,74.07,2.77572157,34,1,16,18,49.29577465,18.31,30.986,18.31,18.55204,49.77376,7.23982,0.86440678,53.39367,46.60633,221,0.25737,40,656,5.393627546,24.43439,59.551,17.9775,3.75,2.2,5.68182,73.86364,17.04545,24.13793,0,80,3.75,17.28395,29.62963,18.51852,27.16049,3.7037,0.4709,98.59065,0.85535,0,0,0,0,0.08311,0,0.01168,854.80063,15.11752528,2.715854685,16.35120021,2.794301302,16.68188703,2.814323522,17.24146952,2.8473175,16.05020417,220,145.9761139,-37.65134234
2107613,0,0,0,0,0,1.666938549,0,0,0,0,51.78571429,10.714,23.214,28.571,19.08213,45.89372,12.80193,0.899082569,52.657,47.343,414,7.1147,42,1336,6.025865974,22.22222,31.69,51.4085,3.15315,2.7,0,49.28571,46.42857,3.92749,0,66.21622,0,18.46847,10.81081,16.21622,24.77477,27.92793,100,0,0,0,0,0,0,0,0,0,58.1894,4.823568826,1.573514074,5.228306514,1.654087423,5.835913839,1.764030867,6.01301492,1.793926273,5.295929726,414,145.7138948,-38.22580481
2107615,0,0,0,0,0,0,0,0,0,0,78.46153846,0,33.846,44.615,14.53744,43.61233,11.89427,0.868852459,53.74449,46.25551,227,5.51886,42,1406,5.429345629,29.95595,39.241,51.8987,5.40541,2.7,0,60.75949,35.44304,4.47284,0,51.35135,2.7027,18.69159,3.73832,13.08411,24.29907,35.51402,88.10175,11.8208,0,0.07745,0,0,0,0,0,0,41.31288,0,0,0,0,0,0,0,0,0,228,145.7509445,-37.97903936
2107616,0,0,0,0,0,-11.34629454,0,0,0,0,54.79452055,13.014,32.192,22.603,27.75665,36.88213,10.26616,1.034749035,49.04943,50.95057,526,603.50924,34,1018,6.267200549,25.09506,40.404,44.9495,2.8,2.5,5.55556,75.25253,19.19192,5.69106,0,72.4,3.6,30.27888,20.31873,18.32669,21.11554,6.3745,0,0,0,0.59278,0,0,5.10289,94.30434,0,0.01696,0.87323,0.00001102,-11.41579481,0.000012281,-11.30745489,1.21E-05,-11.3191305,1.22E-05,-11.31523233,1.18E-05,527,145.7613178,-38.11088136
2107618,0,0,0,0,0,0,0,0,0,0,56.25,7.5,35,21.25,14.62585,49.65986,11.56463,0.896774194,52.04082,47.95918,294,8.87909,47,1125,5.683579767,24.14966,31.193,49.5413,4.29448,2.4,0,57.94393,38.31776,0,0,63.19018,3.68098,19.75309,14.19753,17.90123,20.37037,25.92593,100,0,0,0,0,0,0,0,0,0,33.11149,0,0,0,0,0,0,0,0,0,294,145.7561084,-38.1222178
2107624,0,0,0,0,0,0,0,0,0,0,59.75609756,7.317,36.585,23.171,20.64516,46.45161,10,0.913580247,52.25806,47.74194,310,9.59558,45,1208,5.736572297,22.90323,38.655,45.3782,1.91083,2.6,3.4188,53.84615,38.46154,4.79134,0,62.42038,1.91083,19.39394,15.75758,10.90909,29.09091,24.84848,100,0,0,0,0,0,0,0,0,0,32.30653,0,0,0,0,0,0,0,0,0,310,145.7544133,-38.08033473
2107625,0,0,0,0,0,0,0,0,0,0,60,20,28,32,18.51852,51.11111,6.66667,0.955882353,51.85185,48.14815,135,4.38076,40,924,4.890349128,23.7037,36,34,12.85714,3.1,0,66,34,7.69231,0,51.42857,0,0,0,32.30769,18.46154,49.23077,100,0,0,0,0,0,0,0,0,0,30.36001,0,0,0,0,0,0,0,0,0,133,145.7361436,-38.25028701
2107703,0,0,0,0,0,0,0,0,0,0,34.72222222,12.5,18.056,16.667,13.3574,46.93141,20.57762,0.950704225,50.18051,49.81949,277,0.82582,46,647,5.624017506,19.13357,65.179,29.4643,5.35714,2.3,2.65487,70.79646,19.46903,10.76067,0,56.25,5.35714,20.33898,20.33898,12.71186,22.88136,21.18644,10.89465,88.79856,0,0.00527,0,0,0,0.30152,0,0.04183,335.42255,0,0,0,0,0,0,0,0,0,277,146.0068755,-37.76834584
2107707,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,57.14286,0,1.333333333,42.85714,57.14286,7,0.00792,45,0,1.945910149,42.85714,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,97.5966,2.4034,0,0,0,0,0,0,0,883.98912,0,0,0,0,0,0,0,0,0,7,146.1481494,-37.69514595
2107718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#NUM!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,193.03983,0,0,0,0,0,0,0,0,0,0,145.795178,-37.87441876
2108916,0,0,0,0,0,0,0,0,0,0,80.95238095,7.143,48.81,32.143,16.43357,45.45455,4.8951,0.9,52.7972,47.2028,286,5.75644,39,1208,5.65248918,33.21678,36.17,57.4468,9.02778,3,3.22581,61.29032,35.48387,0,0,46.52778,2.08333,15.64626,14.28571,8.16327,12.2449,43.53741,100,0,0,0,0,0,0,0,0,0,49.50977,0,0,0,0,0,0,0,0,0,285,145.7358716,-38.26562994
2108919,0,0,0,0,0,0,0,0,0,0,66.09195402,12.069,38.506,27.586,13.78764,50.3962,10.77655,1.022435897,49.28685,50.71315,631,11.42545,42,1315,6.447305863,25.03962,29.302,51.1628,4.04984,2.8,1.86047,61.86047,34.4186,1.39752,0,67.60125,3.73832,33.02181,17.13396,11.83801,21.80685,13.39564,100,0,0,0,0,0,0,0,0,0,55.22759,0,0,0,0,0,0,0,0,0,631,145.6535542,-38.28489455
