TAZ,Chd_09,Chd_10,Chd_11,Chd_12,Chd_13,Chd_T,Old_09,Old_10,Old_11,Old_12,Old_13,Old_T,Bik_09,Bik_10,Bik_11,Bik_12,Bik_13,Bik_T,Fat_09,Fat_10,Fat_11,Fat_12,Fat_13,Fat_T,Mbi_09,Mbi_10,Mbi_11,Mbi_12,Mbi_13,Mbi_T,Nit_09,Nit_10,Nit_11,Nit_12,Nit_13,Nit_T,OIn_09,OIn_10,OIn_11,OIn_12,OIn_13,Oln_T,Ped_09,Ped_10,Ped_11,Ped_12,Ped_13,Ped_T,Ser_09,Ser_10,Ser_11,Ser_12,Ser_13,Ser_T,Tot_09,Tot_10,Tot_11,Tot_12,Tot_13,Tot_T,Tru_09,Tru_10,Tru_11,Tru_12,Tru_13,Tru_T,WeD_09,WeD_10,WeD_11,WeD_12,WeD_13,WeD_T,WeE_09,WeE_10,WeE_11,WeE_12,WeE_13,WeE_T,VKT_0,LVKT_0,VKT_1,LVKT_1,VKT_2,LVKT_2,VKT_3,LVKT_3,VKT_A,LVKT_A,Ratio,Y_PoP,YA_Po,A_PoP,O_PoP,LNPOP,HHD1,HHD2,NO_MO,MOTO1,MOTO2,MOTOR,Bus,Car,Cyc,Walk,CY_WA,Modes,P_DEN,P_Res,P_Coma,P_Indu,P_Ofis,P_Park,P_Rds,P_Oths,Index,P_Sped,T_Sig,B_Stop,T_Stop,Train,Schols,AIM_ID,TOT_POPS,Area,sqkms,Long,Lat
TAZ0000,0,0,0,0,0,0,2,1,0,0,1,1,4,4,3,0,2,7,0,0,0,0,0,0,4,1,1,1,1,3,5,1,4,2,1,7,6,5,7,4,5,16,2,2,5,2,0,9,6,5,6,1,2,12,12,10,13,5,7,28,1,0,0,0,0,0,11,8,11,4,6,23,1,2,2,1,1,5,63.72,4.15,65.18,4.18,67.14,4.21,69.22,4.24,65.35,4.18,1.01,11.02,55.58,27.14,6.26,5.570427538,26.66114502,55.78144689,39.47840175,57.56109965,2.960501782,60.52160143,1.087651665,27.82675385,4.288275314,25.92963233,30.21790764,5.149460587,2586.166298,0.787829111,0,0,55.45417833,23.84705295,19.91095444,0,0.528450631,47,3,1,4,0,0,TAZ0000,262.5463238,203.0390412,0.203039041,144.9713286,-37.80808566
TAZ0001,0,0,0,0,0,0,0,1,0,2,1,3,1,1,4,0,2,5,0,0,0,0,0,0,1,2,0,5,1,7,2,3,2,2,1,7,6,6,6,6,4,18,4,4,1,3,2,8,3,2,1,7,5,10,9,8,7,13,9,28,0,0,0,0,0,0,7,5,7,11,8,23,2,3,0,2,1,5,0,0,0,0,0,0,0,0,0,0,1,10.7,57.1,26.23,5.97,5.511067308,26.57344311,55.28567039,41.18040243,56.08966338,2.729936744,58.81960012,1.066141741,26.86472287,3.819657704,27.54951158,31.36916929,5.146184265,2506.340439,0,0,0,87.50554977,4.898421722,7.595624689,0,0.236559407,41,4,2,5,1,0,TAZ0001,247.4150543,197.4305257,0.197430526,144.9552726,-37.81321015
TAZ0002,0,0,0,0,0,0,1,1,2,0,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,1,0,1,1,2,2,5,0,9,0,0,0,0,0,0,1,1,0,0,2,1,2,3,2,5,2,10,0,0,0,0,0,0,1,3,2,4,1,9,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1.05,15.57,37.89,36.65,9.88,8.352190902,27.03881781,61.18727512,20.2756657,73.15227253,6.57206426,79.72433679,1.294245983,39.05657625,7.603142038,10.35906631,17.96220835,5.16875845,3558.07407,0.913004764,0,0,13.91436798,76.19565951,8.977035607,0,0.380718388,52,0,1,0,0,0,TAZ0002,4239.458817,2383.009241,2.383009241,145.012957,-37.79102788
TAZ0003,0,1,0,0,0,1,2,2,4,1,0,7,0,0,3,0,1,3,0,0,0,0,0,0,1,2,2,0,0,4,2,0,1,2,1,3,4,5,7,4,3,16,0,1,0,0,0,1,2,0,4,3,1,7,6,5,11,7,4,23,0,0,0,0,0,0,3,4,8,4,4,16,3,1,3,3,0,7,19.27,2.96,20.34,3.01,21.04,3.05,22.11,3.1,20.22,3.01,1.06,23.46,15.75,40.62,20.17,7.86130134,41.56263709,46.21805183,5.207059953,77.00374348,17.78919575,94.79293924,0.631797297,72.12076544,0.381907343,2.971961956,3.353869299,1.999119799,199.7191425,61.80406877,1.300393917,0,0.188795641,12.2513898,6.348947752,18.10527603,0.569081875,65,1,15,0,0,1,TAZ0003,2594.89502,25985.14809,25.98514809,145.0166746,-38.28879826
TAZ0004,0,0,0,1,0,1,1,3,0,3,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,1,4,1,3,1,0,0,4,1,7,1,6,5,14,0,0,0,0,0,0,2,2,1,2,1,5,3,9,2,8,6,19,0,0,0,0,0,0,3,7,2,6,4,15,0,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,1,22.92,26.21,37.25,13.61,7.129527331,41.82111214,45.54872779,10.43252019,74.02609186,15.54139165,89.56748351,1.847913765,70.82956762,0.500738212,1.728815726,2.229553937,4.817549629,1151.649064,19.97889734,0.363283915,62.63497043,0,2.440469141,11.97929333,2.604697391,0.552456459,62,4,1,0,1,0,TAZ0004,1248.2868,2167.859907,2.167859907,145.1430401,-37.9371957
TAZ0005,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.98,23.22,27.52,36.22,13.03,6.993020391,44.67355436,42.17850018,11.41993208,72.83640346,15.74366994,88.5800734,2.141549445,72.12472339,0.379117118,1.686608849,2.065725967,4.830506856,1046.370378,22.07290354,0,1.049889637,0,12.46425446,0.727115637,63.68577027,0.495409072,50,0,0,0,0,0,TAZ0005,1089.005737,2081.490524,2.081490524,145.1642056,-37.95005823
TAZ0006,0,0,2,0,0,2,2,0,3,2,2,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,6,3,4,3,6,2,13,0,1,1,0,0,2,1,0,4,2,2,6,4,4,7,8,4,19,0,0,0,0,0,0,2,4,6,7,2,17,2,0,1,1,2,2,13.61,2.61,13.35,2.59,13.61,2.61,13.87,2.63,13.52,2.6,0.98,23.22,27.52,36.22,13.03,6.747616686,44.67355598,42.17850113,11.41993051,72.83639642,15.74366886,88.58006528,2.141549469,72.12472321,0.379117136,1.686608906,2.065726042,4.830507184,1046.370519,60.96153148,0,0,0,12.30821839,6.920480985,19.81011433,0.547356068,60,2,3,0,0,0,TAZ0006,852.0256958,1628.540983,1.628540983,145.1674451,-37.96039305
TAZ0007,0,0,3,0,0,3,4,1,5,2,2,8,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,2,2,2,0,3,2,5,2,2,13,7,6,22,0,0,0,0,0,0,5,4,1,4,1,9,7,6,14,11,7,31,0,0,0,1,1,1,4,6,10,10,4,26,3,0,4,1,3,5,0,0,0,0,0,0,0,0,0,0,0.98,23.04,27.44,36.27,13.25,7.145551573,43.8656387,43.02085772,11.16367046,73.03723275,15.79909298,88.83632573,2.1183909,71.58452899,0.407543371,1.732128269,2.13967164,4.961615743,1081.774745,25.19117129,17.70289816,0,0.253105864,39.20161434,8.030178734,9.621496737,0.752259659,58,2,11,0,0,1,TAZ0007,1268.450775,2345.140115,2.345140115,145.1715629,-37.94163696
TAZ0008,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,1,3,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.98,23.22,27.52,36.22,13.03,7.189146825,44.67355522,42.1785032,11.41993068,72.83639871,15.7436679,88.58006662,2.14154935,72.12471887,0.379117103,1.686608899,2.065726002,4.83050702,1046.370513,9.958185671,2.909714324,0,0,87.05501351,0.076812978,0,0.23578911,45,0,1,0,0,0,TAZ0008,1324.97229,2532.503831,2.532503831,145.1817942,-37.94288603
TAZ0009,0,0,0,0,0,0,2,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,3,0,2,0,4,1,6,1,0,0,1,0,1,3,1,1,2,3,4,3,3,1,6,4,10,0,1,0,0,0,1,1,3,1,4,4,8,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0.99,23.13,26.94,36.68,13.25,6.867183704,43.53922134,43.54542761,11.02018507,73.34368165,15.63613045,88.9798121,2.008048991,71.63953659,0.429954786,1.695814086,2.125768872,4.793348606,1083.188637,82.86321546,0.351492576,7.650548494,0,4.103908233,5.033106807,0,0.33597534,52,2,11,0,0,0,TAZ0009,960.2404327,1773.028654,1.773028654,145.1422423,-37.95261557
